"epoch","user_id","exp_id","activity","sample","m1","m2","m3","m12","m13","m23","m123","sd1","sd2","sd3","var1","var2","var3","kur1","kur2","kur3","q1_25","skew1","AR1.1","AR1.2","AR12.1","n"
0,"26","52","-",0,-0.772016743430413,-0.10841903490109,0.0795437226302056,-0.440217889165751,-0.346236510400104,-0.014437656135442,-0.266964018567099,1.40373604412779,1.08197171713282,0.726910681999446,1.97047488158354,1.17066279667535,0.528399139604899,5.55735393967446,3.73336045102579,7.20343436819166,-0.774806216359138,-2.40075826544772,0.930802527523128,0.772013483764891,0.294185682527739,128
1,"26","52","-",128,0.00813691520033898,0.249314149450583,-0.451069101573012,0.128725532325461,-0.221466093186336,-0.100877476061214,-0.0645393456406964,0.56583758061347,0.757440530649599,1.57373860526756,0.320172167634505,0.573716157470746,2.4766531977095,5.04239018711266,19.8418603980545,4.03879147729677,-0.119653228670359,-0.255492096333165,0.763666345918003,0.503509301737831,-0.158378403317307,128
2,"26","52","STANDING",256,0.0160280547365801,0.0055311936976068,0.00107378650795908,0.0107796242170934,0.00855092062226959,0.00330249010278294,0.00754434498071532,0.159732210873831,0.225689638719015,0.0625303784397739,0.0255143791906421,0.0509358130251197,0.00391004822782135,9.9027355827422,1.44700696789379,1.47050158991519,-0.0848339106887579,2.19187764514204,0.680684062042852,0.337831037403825,-0.226817542081643,128
3,"26","52","STANDING",384,0.00236233049827206,-0.0155317259723233,0.0085735891746026,-0.00658469773702564,0.00546795983643733,-0.00347906839886036,-0.00153193543314956,0.0621860170263837,0.0237678119440381,0.0141280638245467,0.00386710071360569,0.000564908884607161,0.000199602187430464,2.90960701556106,-0.685700368737347,0.222232689609284,-0.00817032251507044,-1.11960438984666,0.968591486114871,0.894001653033993,0.184179446864334,128
4,"26","52","STANDING",512,0.00356497136817779,-0.0056385725315522,-0.00259856348407084,-0.0010368005816872,0.000483203942053478,-0.00411856800781152,-0.00155738821581508,0.00599566882828024,0.00862412304452387,0.00886073796325794,3.59480446984114e-05,7.43754982870877e-05,7.85126772535205e-05,-0.144413738555093,-0.121313806477024,-1.10701689158836,0.000305432622553781,-0.131779127437935,0.69105953342303,0.44854309622732,-0.222918830642009,128
5,"26","52","STANDING",640,0.0064498779738642,-0.00227165510568739,-0.00202587732565007,0.00208911143408841,0.00221200032410707,-0.00214876621566873,0.000717448514175582,0.00662878621598097,0.00855999029068695,0.00684899955288155,4.39408066971793e-05,7.32734337766548e-05,4.69087948753717e-05,-0.617565681642332,5.47221616757943,0.144498120763976,0.00175623761606403,-0.294179952166736,0.537840746822704,0.139839650254066,-0.192632082521125,128
6,"26","52","STANDING",768,0.0117591558664571,0.0017037412467289,-0.00321658736061181,0.00673144855659302,0.00427128425292267,-0.000756423056941458,0.00341543658419141,0.0362541976531998,0.0272250348685898,0.0248480143445817,0.00131436684747728,0.000741202523595932,0.000617423816868536,1.82026816078602,1.9313087459593,1.90367587445373,-0.00893390434794128,1.19510983559279,0.926074014229693,0.780431001440458,0.00172808904836797,128
7,"26","52","STANDING",896,-0.00502770726711788,-0.00833735608239294,0.00665509047485102,-0.00668253167475541,0.000813691603866573,-0.000841132803770961,-0.0022366576248866,0.0268591767327276,0.0141295286711052,0.0107518849935698,0.000721415374759893,0.000199643580467584,0.000115603030914951,0.196486333046673,1.18328102339405,0.948865916884586,-0.0201585534960032,-0.36802590452406,0.922435815559947,0.828651981871428,0.304868412096419,128
8,"26","52","STANDING",1024,0.0131908714872679,0.00201633251708699,-0.00154625261916408,0.00760360200217747,0.00582230943405193,0.000235039948961457,0.00455365046173029,0.0263422054059115,0.00981713836355988,0.00696649082503047,0.000693911785647232,9.63762056492791e-05,4.85319944152337e-05,5.78563760690271,-0.388003210519308,-0.568472568438919,-0.00137444681604393,2.08908948773275,0.928777339421033,0.781163519085671,-0.208473118878978,128
9,"26","52","STANDING",1152,-0.00118593762249475,-0.00204019454895388,0.00272025929530173,-0.00161306608572431,0.000767160836403491,0.000340032373173926,-0.000168624292048965,0.0404472683841655,0.0186609923738472,0.0076526258998528,0.00163598151974072,0.000348232636376784,5.85626831630979e-05,0.920509008087916,0.0340240965765997,0.0332581052324499,-0.0220675067976117,-0.457978577214215,0.959218033471585,0.88466810899708,0.25879707974242,128
10,"26","52","STANDING",1280,0.00937296360802975,0.00309011910030677,-0.000186123002777094,0.00623154135416826,0.00459342030262633,0.00145199804876484,0.00409231990185314,0.0122643370551797,0.00784938500562187,0.00721984573922323,0.000150413963403054,6.16128449664814e-05,5.21261724981799e-05,1.84741114140154,0.323286986547835,0.108054590777644,0.00175623761606403,1.23853446543117,0.85794526775629,0.731700728687776,-0.240663447957584,128
11,"26","52","STANDING",1408,0.0109168300277815,0.0116326877221127,-0.00922979210417907,0.0112747588749471,0.000843518961801237,0.0012014478089668,0.00443990854857172,0.04875402369682,0.0268134418272828,0.0367115485734971,0.00237695482663009,0.000718960662625079,0.00134773779866424,7.90835044037225,3.92227895183036,10.0091194207972,0.000229074474191293,-1.65514041190833,0.871982320235235,0.584419986550487,0.260670313939904,128
12,"26","52","STANDING",1536,0.00307818812666483,-0.003538723223528,-0.000949704560980535,-0.000230267548431584,0.00106424178284215,-0.00224421389225427,-0.000470079885947901,0.0125597611051711,0.01979876840352,0.0151781875570762,0.000157747599018969,0.000391991230296222,0.000230377377517784,-0.560574209712122,0.567300691962967,-0.919296533358846,-0.00641408516094089,0.387855698138266,0.835985566516803,0.665359007571372,-0.258713196645273,128
13,"26","52","STANDING",1664,0.00536893282423989,-0.00185645767396636,0.00429037388698816,0.00175623757513677,0.00482965335561403,0.0012169581065109,0.00260094967908723,0.00741829986463855,0.0104132898023223,0.00829670939873436,5.50311728816963e-05,0.00010843660450715,6.8835386847047e-05,-0.131476907954262,-0.0094440366993882,1.60290642804172,0.0013744467869401,-0.151239690757712,0.617063264958113,0.329214981840348,0.199127599594707,128
14,"26","52","STANDING",1792,0.00734947248952267,0.00143410165037494,0.00118355140693893,0.0043917870699488,0.0042665119482308,0.00130882652865694,0.00332237518227885,0.00805246295157129,0.00903059479684968,0.00540209119068202,6.48421595864281e-05,8.15516423848885e-05,2.91825892324443e-05,0.0387653426038019,-0.579545128073089,0.283822467083415,0.00206167023861781,0.133688439507908,0.769880279249812,0.545322532557821,0.146897120665822,128
15,"26","52","STANDING",1920,-0.183894300726706,-0.0124941031519938,0.0358382232470831,-0.09819420193935,-0.0740280387398116,0.0116720600475446,-0.0535167268772057,0.308003307773457,0.175676898051554,0.0749987979349108,0.094866037599391,0.030862372509016,0.00562481969168159,-1.21492135679128,2.51371862714273,0.937045150001839,-0.47227519005537,-0.0121513844535196,0.991462550191054,0.969623610660006,-0.381722560533804,128
16,"26","52","STAND_TO_SIT",2048,0.069669658162411,0.0973590363482799,-0.155233744994348,0.0835143472553455,-0.0427820434159685,-0.028937354323034,0.00393164983878099,0.156794808895211,0.26837154798848,0.22399389063576,0.0245846120964857,0.0720232877697331,0.050173263042145,2.03147977050505,0.352830143715896,-0.616493720729245,-0.0151189151220024,-0.577522265431423,0.901128940024532,0.697639632228458,-0.108730146232108,128
